% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1813	1	1	1	0	20	1239	0	1
1814	1	1	1	0	22	1431	0	1
1815	1	1	1	0	12	621	0	1
1816	1	1	1	0	10	501	0	1
1817	1	1	1	0	16	967	0	1
1818	1	1	1	0	18	999	0	1
1819	1	1	1	0	20	1239	0	1
1820	1	1	1	0	14	807	0	1
1822	1	1	1	0	24	1692	0	1
1823	1	1	1	0	24	1692	0	1
1824	1	1	1	0	28	2292	0	1
1825	1	1	1	0	14	807	0	1
1826	1	1	1	0	18	999	0	1
1827	1	1	1	0	8	437	0	1
1828	1	1	1	0	8	437	0	1
1829	1	1	1	0	10	501	0	1
1830	1	1	1	0	14	807	0	1
1831	1	1	1	0	16	967	0	1
1832	1	1	1	0	22	1431	0	1
1833	1	1	1	0	24	1692	0	1
1834	1	1	1	0	22	1431	0	1
1855	1	1	1	0	14	807	0	1
1856	1	1	1	0	14	807	0	1
1857	1	1	1	0	14	807	0	1
1858	1	1	1	0	14	807	0	1
1859	1	1	1	0	14	807	0	1
1860	1	1	1	0	14	807	0	1
1861	1	1	1	0	14	807	0	1
1862	1	1	1	0	22	1431	0	1
1863	1	1	1	0	28	2292	0	1
1864	1	1	1	0	26	1908	0	1
1865	1	1	1	0	20	1239	0	1
1866	1	1	1	0	20	1239	0	1
1867	1	1	1	0	4	225	0	1
1868	1	1	1	0	20	1239	0	1
1869	1	1	1	0	20	1239	0	1
1870	1	1	1	0	0	85	0	1
1871	1	1	1	0	16	967	0	1
1872	1	1	1	0	18	999	0	1
1873	1	1	1	0	22	1431	0	1
1874	1	1	1	0	28	2292	0	1
1875	1	1	1	0	28	2292	0	1
1876	1	1	1	0	12	621	0	1
1877	1	1	1	0	14	807	0	1
1878	1	1	1	0	28	2292	0	1
1879	1	1	1	0	28	2292	0	1
1880	1	1	1	0	28	2292	0	1
1881	1	1	1	0	22	1431	0	1
1882	1	1	1	0	26	1908	0	1
1883	1	1	1	0	8	437	0	1
1884	1	1	1	0	22	1431	0	1
1885	1	1	1	0	22	1431	0	1
1886	1	1	1	0	16	967	0	1
1887	1	1	1	0	26	1908	0	1
1910	1	1	1	0	26	1908	0	1
1911	1	1	1	0	26	1908	0	1
1912	1	1	1	0	26	1908	0	1
1913	1	1	1	0	26	1908	0	1
1914	1	1	1	0	26	1908	0	1
1915	1	1	1	0	26	1908	0	1
1916	1	1	1	0	26	1908	0	1
1917	1	1	1	0	22	1431	0	1
1918	1	1	1	0	6	325	0	1
1919	1	1	1	0	22	1431	0	1
1920	1	1	1	0	26	1908	0	1
1921	1	1	1	0	16	967	0	1
1922	1	1	1	0	20	1239	0	1
1923	1	1	1	0	22	1431	0	1
1925	1	1	1	0	12	621	0	1
1926	1	1	1	0	14	807	0	1
1927	1	1	1	0	20	1239	0	1
1928	1	1	1	0	20	1239	0	1
1929	1	1	1	0	18	999	0	1
1930	1	1	1	0	12	621	0	1
1931	1	1	1	0	12	621	0	1
1932	1	1	1	0	14	807	0	1
1933	1	1	1	0	18	999	0	1
1934	1	1	1	0	18	999	0	1
1935	1	1	1	0	20	1239	0	1
1936	1	1	1	0	24	1692	0	1
1937	1	1	1	0	24	1692	0	1
1938	1	1	1	0	18	999	0	1
1939	1	1	1	0	12	621	0	1
1940	1	1	1	0	6	325	0	1
1941	1	1	1	0	16	967	0	1
1942	1	1	1	0	18	999	0	1
1943	1	1	1	0	20	1239	0	1
1965	1	1	1	0	20	1239	0	1
1966	1	1	1	0	20	1239	0	1
1967	1	1	1	0	22	1431	0	1
1968	1	1	1	0	22	1431	0	1
1969	1	1	1	0	22	1431	0	1
1970	1	1	1	0	22	1431	0	1
