% time	cellId	IMSI	RNTI	sinrLinear
6.161	1	1	1	213.36
6.201	1	1	1	319.005
6.241	1	1	1	544.341
6.281	1	1	1	244.278
6.321	1	1	1	98.8692
6.361	1	1	1	205.931
6.401	1	1	1	204.188
6.441	1	1	1	127.804
6.481	1	1	1	247.942
6.521	1	1	1	471.085
6.561	1	1	1	281.552
6.601	1	1	1	401.328
6.641	1	1	1	344.683
6.681	1	1	1	335.159
6.721	1	1	1	1044.33
6.761	1	1	1	629.87
6.801	1	1	1	799.526
6.841	1	1	1	1189.11
6.881	1	1	1	461.617
6.921	1	1	1	759.876
6.961	1	1	1	828.081
7.001	1	1	1	253.398
7.041	1	1	1	171.507
7.081	1	1	1	300.247
7.121	1	1	1	321.756
7.161	1	1	1	320.084
7.201	1	1	1	387.237
7.241	1	1	1	235.989
7.281	1	1	1	769.375
7.321	1	1	1	631.691
7.361	1	1	1	247.297
7.401	1	1	1	771.318
7.441	1	1	1	390.786
7.481	1	1	1	530.998
7.521	1	1	1	253.312
7.561	1	1	1	740.603
7.601	1	1	1	1096.37
7.641	1	1	1	1008.44
7.681	1	1	1	432.962
7.721	1	1	1	357.053
7.761	1	1	1	1370.97
7.801	1	1	1	1768.72
7.841	1	1	1	1064.89
7.881	1	1	1	359.946
7.921	1	1	1	314.454
7.961	1	1	1	661.074
8.001	1	1	1	370.029
8.041	1	1	1	529.139
8.081	1	1	1	192.083
8.121	1	1	1	113.742
8.161	1	1	1	212.192
8.201	1	1	1	197.291
8.241	1	1	1	118.891
8.281	1	1	1	306.329
8.321	1	1	1	541.99
8.361	1	1	1	95.9861
8.401	1	1	1	273.81
8.441	1	1	1	560.787
8.481	1	1	1	327.78
8.521	1	1	1	596.636
8.561	1	1	1	941.041
8.601	1	1	1	307.805
8.641	1	1	1	341.219
8.681	1	1	1	674.699
8.721	1	1	1	360.946
8.761	1	1	1	220.417
8.801	1	1	1	674.046
8.841	1	1	1	1073.49
8.881	1	1	1	1049.63
8.921	1	1	1	510.314
8.961	1	1	1	292.628
9.001	1	1	1	287.861
